"DocId","PublishDate","VisitDate","SiteId","SiteName","SiteUrl","Url"
"D0","2023-03-18","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2023/03/finding-words-with-all-letters.html"
"D1","2022-12-19","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2022/12/thoughts-on-optimization-of-code.html"
"D2","2022-12-17","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2022/12/coding-with-chatgptarmstrong-numbers.html"
"D3","2023-01-23","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2023/01/what-jobs-are-safe-from-automation.html",
"D4","2023-02-14","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2023/02/people-are-bad-at-giving-instructions.html"
"D5","2023-01-27","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2023/01/rhode-island-computer-museum.html"
"D6","2021-08-02","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2021/08/iot-python-and-raspberry-pioh-my.html"
"D7","2022-07-28","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2022/07/jacdac-and-microbit-20first-look.html"
"D8","2022-10-07","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2022/10/microbit-programming-for-grades-k-to-3.html"
"D9","2022-11-12","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net","blog.acthompson.net/2022/11/csta-new-england-regional-conference.html"
"D10","2022-12-31","2023-03-24","S1","Computer Science Teacher","blog.acthompson.net",/blog.acthompson.net/2022/12/looking-back-and-looking-forward-in-cs.html"



